Index,종목코드,종목명,시장구분,연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액,주가,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
2.0,20.0,동화약품,KOSPI,2016.0,12.0,제약,0.49,-,"1,000",110,1.4,11.591,"27,931,470","3,043,120,300",8120.0,1.0,324604536650.0,252925299902 ,11259333902.0,2.34,237470834801.0,4.74,1.82
3.0,20.0,동화약품,KOSPI,2017.0,12.0,제약,0.25,-,"1,000",150,1.6,8.809,"27,931,470","4,141,159,500",9750.0,1.0,367225133428.0,296944728429 ,10987308187.0,13.13,258881616575.0,4.24,1.37
4.0,20.0,동화약품,KOSPI,2018.0,12.0,제약,0.19,-,"1,000",120,1.35,32.906,"27,931,470","3,312,927,600",9100.0,1.0,370599242793.0,297400651562 ,11225780035.0,0.92,306602589029.0,3.66,1.12
5.0,20.0,동화약품,KOSPI,2019.0,12.0,제약,0.21,-,"1,000",120,1.5,35.266,"27,931,470","3,312,927,600",8310.0,1.0,376028553041.0,300874594398 ,9917746256.0,1.47,307150025786.0,3.23,0.99
6.0,20.0,동화약품,KOSPI,2020.0,12.0,제약,0.11,-,"1,000",180,0.87,17.306,"27,931,470","4,969,391,400",19650.0,1.0,433807800192.0,342682240439 ,23153371156.0,15.37,272075383799.0,8.51,2.11
7.0,20.0,동화약품,KOSPI,2021.0,12.0,제약,0.12,-,"1,000",180,1.23,25.442,"27,931,470","4,982,243,400",14600.0,1.0,447804486939.0,360133219794 ,22496350976.0,3.23,293018112028.0,7.68,2.45
8.0,20.0,동화약품,KOSPI,2022.0,12.0,제약,0.29,-,"1,000",180,1.86,23.076,"27,931,470","4,982,243,400",9260.0,1.0,461136459052.0,378673250961 ,29915077882.0,2.98,340426327300.0,8.79,2.71
9.0,20.0,동화약품,KOSPI,2023.0,12.0,제약,0.23,-,"1,000",180,1.82,17.669,"27,931,470","4,989,227,400",10270.0,1.0,564972408621.0,407056365747 ,18775880121.0,22.52,361108562008.0,5.2,2.39
11.0,50.0,경방,KOSPI,2016.0,12.0,섬유·의류,0.94,-,500,180,1.1,16.742,"27,415,270","4,934,748,600",15300.0,1.0,1301910959501.0,679843399077 ,43436568980.0,-1.27,377445013363.0,11.51,0.44
12.0,50.0,경방,KOSPI,2017.0,12.0,섬유·의류,1.04,-,500,180,1.26,19.493,"27,415,270","4,934,748,600",13900.0,1.0,1274042237155.0,699134073068 ,42309231903.0,-2.14,360788750428.0,11.73,0.44
13.0,50.0,경방,KOSPI,2018.0,12.0,섬유·의류,1.32,-,500,125,1.1,16.7,"27,415,270","3,371,474,625",10800.0,1.0,1301792841122.0,708769346768 ,40979750900.0,2.18,351438925710.0,11.66,0.38
14.0,50.0,경방,KOSPI,2019.0,12.0,유통,1.67,-,500,125,1.31,7.569,"27,415,270","3,301,908,750",9280.0,1.0,1370742491338.0,741553199073 ,32020529934.0,5.3,343892084610.0,9.31,1.01
