종목코드,연도,영업이익률,영업이익률 표준편차
000020,2015,2.16,
000020,2016,4.74,1.82
000020,2017,4.24,1.37
000020,2018,3.66,1.12
000020,2019,3.23,0.99
000020,2020,8.51,2.11
000020,2021,7.68,2.45
000020,2022,8.79,2.71
000020,2023,5.2,2.39
000050,2015,10.89,
000050,2016,11.51,0.44
000050,2017,11.73,0.44
000050,2018,11.66,0.38
000050,2019,9.31,1.01
000050,2020,6.64,2.22
000050,2021,14.03,2.81
000050,2022,8.19,2.92
000050,2023,4.06,3.69
000070,2015,4.9,
000070,2016,6.1,0.85
000070,2017,4.12,1.0
000070,2018,5.4,0.83
000070,2019,3.19,1.13
000070,2020,6.89,1.49
000070,2021,11.32,3.19
000070,2022,3.99,3.21
000070,2023,2.95,3.53
000080,2015,7.02,
000080,2016,6.56,0.33
000080,2017,4.62,1.27
000080,2018,4.8,1.22
000080,2019,4.34,1.23
000080,2020,8.8,1.88
000080,2021,7.9,2.09
000080,2022,7.63,1.99
000080,2023,4.92,1.97
000100,2015,7.6,
000100,2016,7.4,0.14
000100,2017,6.07,0.83
000100,2018,3.3,1.98
000100,2019,0.85,2.91
000100,2020,5.2,2.55
000100,2021,2.88,2.05
000100,2022,2.03,1.61
000100,2023,3.05,1.6
000120,2015,3.69,
000120,2016,3.76,0.05
000120,2017,3.31,0.24
000120,2018,2.63,0.52
000120,2019,2.95,0.48
000120,2020,3.02,0.43
000120,2021,3.03,0.24
000120,2022,3.39,0.27
000120,2023,4.08,0.47
000140,2015,7.57,
000140,2016,7.01,0.4
000140,2017,5.32,1.17
000140,2018,5.52,1.11
000140,2019,4.98,1.14
000140,2020,9.37,1.81
000140,2022,8.15,2.1
000140,2023,5.51,2.1
000150,2015,1.4,
000150,2016,5.59,2.96
000150,2017,6.17,2.6
000150,2018,6.69,2.42
000150,2019,5.98,2.14
000150,2020,3.1,1.4
000150,2021,7.16,1.59
000150,2022,6.63,1.63
000150,2023,7.51,1.76
000180,2015,1.73,
000180,2016,0.54,0.84
000180,2017,-0.13,0.94
000180,2018,-5.33,3.12
000180,2019,-1.95,2.75
000180,2020,4.7,3.66
000180,2021,5.29,4.5
000180,2022,-5.05,5.16
000180,2023,-10.05,6.53
000210,2015,2.86,
000210,2016,4.26,0.99
000210,2017,4.43,0.86
000210,2018,7.7,2.05
000210,2019,11.65,3.54
000210,2020,7.6,3.02
000210,2021,8.19,2.56
000210,2022,5.55,2.21
000210,2023,3.0,3.21
000220,2015,2.18,
000220,2016,2.31,0.09
000220,2017,5.68,1.98
000220,2018,6.41,2.21
000220,2019,8.89,2.86
000220,2020,6.39,2.36
000220,2021,1.04,2.87
000220,2022,-0.43,3.96
000220,2023,0.27,4.15
000230,2015,4.98,
000230,2016,-8.61,9.61
000230,2017,3.14,7.37
000230,2018,-1.43,6.05
000230,2019,-8.14,6.26
000230,2020,-1.54,4.99
000230,2021,-13.99,6.7
000230,2022,-14.57,6.4
000230,2023,-12.46,5.43
000240,2015,81.18,
000240,2017,24.16,40.32
000240,2018,24.94,32.7
000240,2019,20.16,29.12
000240,2020,19.07,2.9
000240,2021,23.7,2.61
000240,2022,22.38,2.43
000240,2023,23.55,2.07
000250,2015,15.72,
000250,2016,16.53,0.57
000250,2017,16.46,0.45
000250,2018,9.69,3.29
000250,2019,13.51,2.89
000250,2020,3.31,5.56
000250,2021,-9.14,10.16
000250,2022,6.89,8.67
000250,2023,4.96,8.26
000270,2015,4.75,
000270,2016,4.67,0.06
000270,2017,1.24,2.0
000270,2018,2.14,1.78
000270,2019,3.46,1.55
000270,2020,3.49,1.33
000270,2021,7.25,2.29
000270,2022,8.36,2.7
000270,2023,11.63,3.47
000320,2015,3.98,
000320,2016,3.29,0.49
000320,2017,2.24,0.88
000320,2018,1.22,1.21
000320,2019,2.83,1.05
000320,2020,4.22,1.12
000320,2021,2.79,1.09
000320,2022,2.89,1.06
000320,2023,5.55,1.22
000390,2015,6.25,
000390,2016,3.91,1.65
000390,2017,1.8,2.23
000390,2018,1.5,2.2
000390,2019,2.08,1.99
000390,2020,2.72,0.96
000390,2021,0.13,0.96
000390,2022,3.07,1.16
000390,2023,4.09,1.47
000430,2015,5.21,
000430,2016,5.55,0.24
000430,2017,3.71,0.98
000430,2018,4.24,0.85
000430,2019,2.81,1.11
000430,2020,0.61,1.84
000430,2021,-0.58,2.07
000430,2022,2.15,1.88
000430,2023,5.35,2.26
000440,2015,2.36,
000440,2016,2.3,0.04
000440,2017,0.91,0.82
000440,2018,1.87,0.67
000440,2019,0.97,0.7
000440,2020,0.24,0.82
000440,2021,0.06,0.72
000440,2022,1.13,0.73
000440,2023,-1.33,0.98
000480,2015,3.55,
000480,2016,5.04,1.05
000480,2017,-0.46,2.84
000480,2018,5.0,2.59
000480,2019,2.82,2.25
000480,2020,3.25,2.24
000480,2021,4.44,2.13
000480,2022,2.83,1.0
000480,2023,4.82,0.94
000490,2015,0.93,
000490,2016,-2.22,2.23
000490,2017,2.82,2.55
000490,2018,0.8,2.08
000490,2019,2.94,2.09
000490,2020,3.7,2.39
000490,2021,3.24,1.12
000490,2022,6.03,1.87
000490,2023,4.56,1.24
000500,2015,1.26,
000500,2016,2.24,0.69
000500,2017,0.94,0.68
000500,2018,0.62,0.7
000500,2019,0.86,0.63
000500,2020,1.48,0.65
000500,2021,1.55,0.41
000500,2022,2.01,0.56
000500,2023,2.92,0.76
000520,2015,1.82,
000520,2016,3.98,1.53
000520,2017,1.42,1.38
000520,2018,-6.06,4.38
000520,2019,3.98,4.14
000520,2020,5.32,4.58
000520,2021,0.3,4.42
000520,2022,2.24,4.45
000520,2023,3.3,1.89
000590,2015,16.33,
000590,2016,16.11,0.16
000590,2017,14.08,1.24
000590,2018,10.87,2.53
000590,2019,12.61,2.32
000590,2020,12.08,2.02
000590,2021,12.36,1.15
000590,2022,8.92,1.52
000590,2023,11.12,1.51
000640,2015,9.13,
000640,2016,10.47,0.95
000640,2017,7.73,1.37
000640,2018,7.14,1.49
000640,2019,6.86,1.51
000640,2020,6.46,1.6
000640,2021,6.98,0.46
000640,2022,3.73,1.42
000640,2023,6.79,1.37
000650,2015,4.8,
000650,2016,1.85,2.09
000650,2017,-3.64,4.28
000650,2018,-5.68,4.84
000650,2019,0.94,4.25
000650,2020,-32.08,13.97
000650,2021,-33.55,16.63
000650,2022,-19.66,15.44
000650,2023,-11.7,14.44
000660,2015,28.39,
000660,2016,19.05,6.6
000660,2017,45.57,13.45
000660,2018,51.54,15.04
000660,2019,10.05,17.48
