종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
339770,2020,1,229529528906.0,153520964307.0,41029973016.0,,447628198910.0,9.17,
339770,2021,1,254727912986.0,179809579517.0,40962441268.0,10.98,507628215445.0,8.07,
339770,2022,1,304973382954.0,179218784515.0,8840657464.0,19.73,517457457887.0,1.71,0.78
339770,2023,1,326364540917.0,185573863457.0,24838126050.0,7.01,444950940517.0,5.58,4.03
339950,2020,0,59472719941.0,28515257095.0,4061770907.0,,59897254539.0,6.78,
339950,2021,0,74933834006.0,36803733317.0,7844870225.0,26.0,79442494615.0,9.87,
339950,2022,0,75612709874.0,35656233380.0,3082754489.0,0.91,86509520445.0,3.56,2.18
339950,2023,1,80093701315.0,41960551647.0,8935524758.0,5.93,94698742467.0,9.44,3.16
340570,2020,1,79453958959.0,71951304934.0,9592474649.0,,40633124493.0,23.61,
340570,2021,1,98309903798.0,90089245173.0,22327323701.0,23.73,71895885464.0,31.06,
340570,2022,1,116997269444.0,106072409874.0,24308838055.0,19.01,81577391444.0,29.8,5.27
340570,2023,1,142108001265.0,129553114080.0,30839185026.0,21.46,115461318940.0,26.71,3.99
344820,2020,1,1717817070057.0,1319866515307.0,35839370802.0,,708657396421.0,5.06,
344820,2021,2,1877935028583.0,1388414266640.0,160451158221.0,9.32,1175659965172.0,13.65,
344820,2022,2,2209564785783.0,1442611749069.0,119220614753.0,17.66,1443680691839.0,8.26,6.07
344820,2023,1,2223679597409.0,1488014851281.0,95020315030.0,0.64,1680055646591.0,5.66,4.34
344860,2022,0,7949480110.0,6744403464.0,1487584298.0,,9139386732.0,16.28,
344860,2023,1,17200456179.0,16026304345.0,1226337763.0,116.37,10101040486.0,12.14,
347740,2020,0,59891742535.0,55626448031.0,7216582137.0,,14676376869.0,49.17,
347740,2021,1,67093588023.0,63066903471.0,6461017244.0,12.02,17487132739.0,36.95,
347740,2022,1,74539350158.0,70807064039.0,5640160033.0,11.1,17957199424.0,31.41,8.64
347740,2023,1,77407165729.0,74239464762.0,1378893865.0,3.85,14842604136.0,9.29,9.09
347890,2020,1,66333353214.0,59545090831.0,10825034099.0,,33222849475.0,32.58,
347890,2021,1,73877964338.0,65774604798.0,11510283039.0,11.37,39286972303.0,29.3,
347890,2022,1,79265691889.0,73007861342.0,11661086028.0,7.29,41682637759.0,27.98,2.32
347890,2023,1,77018589480.0,72446439932.0,5611354850.0,-2.83,33020955073.0,16.99,2.37
348210,2020,0,54259282642.0,45887675786.0,18099074344.0,,49445117659.0,36.6,
348210,2021,1,75979578996.0,65627575729.0,22064316158.0,40.03,57108751854.0,38.64,
348210,2022,1,121191635691.0,99637662260.0,56503520126.0,59.51,114942873898.0,49.16,1.44
348210,2023,1,142961730739.0,127009095062.0,36165536410.0,17.96,87930571023.0,41.13,6.74
348350,2020,0,115666848026.0,88384520995.0,8845590974.0,,55617176046.0,15.9,
348350,2021,0,125285429260.0,99348676227.0,8815228745.0,8.32,68307379198.0,12.91,
348350,2022,1,147569188186.0,109558778382.0,14458737929.0,17.79,72605947195.0,19.91,2.11
348350,2023,0,136065076961.0,115189545341.0,2424570894.0,-7.8,49561291840.0,4.89,3.51
351320,2021,1,56325970477.0,28940604788.0,1751298242.0,,37855500675.0,4.63,
351320,2022,1,50650555797.0,29424767190.0,-158617123.0,-10.08,32943720401.0,-0.48,
351320,2023,0,42640681286.0,21806319252.0,-8559622625.0,-15.81,16178824956.0,-52.91,3.61
352090,2023,1,96735144554.0,81865476368.0,11654525617.0,,55161763218.0,21.13,
352700,2020,0,124010226246.0,73387478684.0,68678681173.0,,157926068273.0,43.49,
352700,2021,2,197646588248.0,161657567121.0,56317057971.0,59.38,170875361674.0,32.96,
352700,2022,2,184516167149.0,166410351688.0,26718958897.0,-6.64,141584468647.0,18.87,7.45
352700,2023,1,171322449624.0,162675594677.0,-744270435.0,-7.15,78037214136.0,-0.95,12.35
352820,2020,0,1924442638000.0,1198939410000.0,145515649000.0,,796283397000.0,18.27,
352820,2021,0,4728915303000.0,2886585043000.0,190247657000.0,145.73,1255926483000.0,15.15,
352820,2022,0,4870434315000.0,2928680005000.0,236907930000.0,2.99,1776153957000.0,13.34,2.21
352820,2023,1,5345681487000.0,3109914968000.0,295643307000.0,9.76,2178088207000.0,13.57,2.49
353200,2020,1,809177121206.0,637780940184.0,2681155696.0,,620598045942.0,0.43,
353200,2021,1,941014398589.0,681882884052.0,72467127013.0,16.29,1000931518781.0,7.24,
353200,2022,1,1191756988159.0,854989142336.0,232523019093.0,26.65,1316163420252.0,17.67,4.82
353200,2023,0,1127535530258.0,868336080497.0,23732043885.0,-5.39,909651486895.0,2.61,8.68
353810,2020,1,89822118179.0,34040153568.0,15198062187.0,,88123274005.0,17.25,
353810,2021,1,117693760709.0,45414394017.0,16779466342.0,31.03,129457805008.0,12.96,
353810,2022,1,157810407085.0,52811116485.0,16153075579.0,34.09,155557100437.0,10.38,3.03
353810,2023,1,172041553172.0,66172834442.0,20631216305.0,9.02,165385090893.0,12.47,3.47
356860,2020,0,113612236181.0,71017854830.0,15157104623.0,,184111813054.0,8.23,
356860,2021,1,124993544807.0,83229715800.0,13380291271.0,10.02,178099830441.0,7.51,
356860,2022,1,164922667890.0,112315916682.0,38464449640.0,31.94,221548161366.0,17.36,0.51
356860,2023,1,172551171330.0,110236786201.0,3044962734.0,4.63,171306693402.0,1.78,5.49
356890,2020,0,15249720077.0,12899708927.0,2179757262.0,,20600081264.0,10.58,
356890,2021,1,30157557116.0,26845584870.0,1690299644.0,97.76,22185766040.0,7.62,
